pollutant,group,large_grid_id,sailing_emissions,berth_emissions
PM,4,9376,0.032707004,0
PM,4,9377,0.02199264,0
PM,4,9547,0.070806313,0
PM,4,9548,0.046963473,0
PM,4,9549,0.199061586,0
PM,4,9557,0.146237598,0.004595814
PM,4,9569,0.002270195,0
PM,4,9717,0.080639679,0
PM,4,9718,0.006766966,0
PM,4,9719,0.001691741,0
PM,4,9720,0.611199514,0
PM,4,9721,1.052104211,0
PM,4,9728,1.920633809,0
PM,4,9729,7.6985951329999995,0.909427789
PM,4,9730,7.323382302000001,0.004760551
PM,4,9731,6.423680234,0
PM,4,9732,100.259087816,210.10870131299998
PM,4,9733,371.712999265,172.34703407199999
PM,4,9734,11.762635288,0
PM,4,9741,0.00110414,0
PM,4,9886,1.1092370950000001,0.008576537
PM,4,9887,1.246747094,0.009986175
PM,4,9888,1.0406298,0.018453473
PM,4,9889,14.474563148000001,163.329703129
PM,4,9890,3.913093612,0.163418134
PM,4,9891,8.255388967,0
PM,4,9892,38.489517938999995,0
PM,4,9893,147.861071758,26.801875732
PM,4,9894,5.286158314,0.005932791000000001
PM,4,9895,4.647430267,0.007252708
PM,4,9896,0.073863269,0.640008838
PM,4,9897,0.06012194,0
PM,4,9898,0.043014879,0
PM,4,9899,0.110736246,0.07886103900000001
PM,4,9900,8.457099187,0.024129395999999997
PM,4,9905,0.211670159,0.001099658
PM,4,9906,58.564397337,0.001209963
PM,4,9907,15.620816453,0
PM,4,10058,0.761698666,0.017838107
PM,4,10062,3.9283031709999996,0.10888838499999999
PM,4,10064,11.285336172,0.025276736
PM,4,10065,99.903034097,26.572578548
PM,4,10066,13.866224197000001,4.545563273000001
PM,4,10067,1.7514498440000001,0
PM,4,10068,6.232413442,0.289558627
PM,4,10069,5.8705286800000005,0.00157275
PM,4,10070,6.734688603,4.7892811239999995
PM,4,10071,181.508893473,9.932092671
PM,4,10072,2.021829274,0.095806944
PM,4,10078,10.939045397000001,27.410274130999998
PM,4,10079,59.585362003,2.056380344
PM,4,10081,0.002003182,0
PM,4,10229,1.38417e-4,0
PM,4,10230,0.029993275399999998,0
PM,4,10235,16.44316372,0
PM,4,10236,4.664363047999999,0
PM,4,10237,9.431430601999999,119.109771466
PM,4,10238,33.372122179,0.001468555
PM,4,10240,0.008458708,0
PM,4,10241,0.025376123,0
PM,4,10242,0.005075224,0
PM,4,10251,47.567408083,0.615510593
PM,4,10252,57.113484278,0.011744908
PM,4,10253,58.410040650999996,0
PM,4,10254,58.282411831,3.296266176
PM,4,10255,0.023742732,0
PM,4,10399,0.13485497,0
PM,4,10400,0.004966201999999999,0
PM,4,10401,3.921836e-4,0
PM,4,10408,1.744749426,0
PM,4,10410,0.057519211,0
PM,4,10415,0.003383483,0
PM,4,10426,15.882543955,0
PM,4,10427,190.495441301,141.57427629
PM,4,10428,600.4361331250001,569.6708235
PM,4,10582,0.017245683,0
PM,4,10583,0.067669661,0
PM,4,10599,8.030632612,0
PM,4,10600,1065.387741221,389.87624936000003
PM,4,10601,609.321200501,1851.6226501340002
PM,4,10927,0.082895335,0
PM2.5,1,9559,0.004593619,0
PM2.5,1,9717,0.00749521,0
PM2.5,1,9728,0.591724798,0
PM2.5,1,9729,2.298236117,1.77015e-4
PM2.5,1,9730,1.755838994,0
PM2.5,1,9731,1.6264899679999998,0
PM2.5,1,9732,3.194070227,0
PM2.5,1,9733,1.204624883,0
PM2.5,1,9734,0.260701374,0
PM2.5,1,9886,604.9377499479999,0.615074696
PM2.5,1,9887,992.686436676,0.230621676
PM2.5,1,9888,1528.8210103000001,4.699734004
PM2.5,1,9889,1130.80372887,36.495768786
PM2.5,1,9890,87.22918458000001,0
PM2.5,1,9891,436.12206075,0
PM2.5,1,9892,480.49539460000005,0.084841724
PM2.5,1,9893,3.91317e-4,0
PM2.5,1,9894,532.452356086,0.093590337
PM2.5,1,9895,286.805067484,11.047424443999999
PM2.5,1,9899,0.065330562,0.030166359
PM2.5,1,9900,3.245728411,2.03192e-4
PM2.5,1,9901,0.001247137,0
PM2.5,1,9905,0.028986566,0
PM2.5,1,9906,1.441978892,0
PM2.5,1,9907,0.262030998,0
PM2.5,1,10058,324.4983578,1.781766236
PM2.5,1,10062,86.524037382,0
PM2.5,1,10063,8.27845e-4,0
PM2.5,1,10064,245.78569979699998,0.04044623
PM2.5,1,10065,0.006072899,0.002031664
PM2.5,1,10066,651.920190787,0.009037387
PM2.5,1,10067,50.212603583,1.76104e-4
PM2.5,1,10068,157.87662139,0
PM2.5,1,10069,134.146984797,0
PM2.5,1,10070,118.12452501000001,0.111557706
PM2.5,1,10071,162.50104793999998,7.75345951
PM2.5,1,10072,1.485856439,0.079512089
PM2.5,1,10078,0.088428196,0
PM2.5,1,10079,1.147955293,0
PM2.5,1,10081,1.3857e-4,0
PM2.5,1,10229,38.99189357,0.051701293
PM2.5,1,10230,479.537829428,0.25601214299999997
PM2.5,1,10236,124.89176149400001,0
PM2.5,1,10237,297.01425838,7.83352e-4
PM2.5,1,10238,307.557900776,0.004894532
PM2.5,1,10251,0.988869054,0
PM2.5,1,10252,1.229970373,0
PM2.5,1,10253,1.224157158,0
PM2.5,1,10254,1.104006065,0
PM2.5,1,10255,0.010459716,0
PM2.5,1,10398,0.155866376,0
PM2.5,1,10399,2.227027984,0.007966621
PM2.5,1,10400,3.2824456929999997,0
PM2.5,1,10401,11.651303178000001,0
PM2.5,1,10426,0.324542768,0
PM2.5,1,10427,1.427469645,0
PM2.5,1,10428,0.088464935,0
PM2.5,1,10570,0.135420787,0
PM2.5,1,10599,0.059959792,0
PM2.5,1,10600,1.301631419,0
PM2.5,1,10601,0.770635822,0
PM2.5,1,10739,0.036899065,0.005842139
PM2.5,1,10740,0.34956892100000003,0
PM2.5,1,10741,0.062997075,0
PM2.5,1,10742,0.637260394,0
PM2.5,2,8871,0.002365025,0
PM2.5,2,9043,7.83986e-4,0
PM2.5,2,9044,5.22657e-4,0
PM2.5,2,9204,6.55353e-5,0
PM2.5,2,9205,0.001032249,0
PM2.5,2,9209,0.002077893,0
PM2.5,2,9216,0.00131971,0
PM2.5,2,9377,0.017330422,0
PM2.5,2,9381,4.52725e-4,0
PM2.5,2,9382,4.8755e-4,0
PM2.5,2,9383,0.004628046,0
PM2.5,2,9384,0.026936333,0
PM2.5,2,9388,7.83987e-4,0
PM2.5,2,9389,6.40256e-4,0
PM2.5,2,9550,0.079949661,2.90553e-4
PM2.5,2,9554,0.001393001,0
PM2.5,2,9556,0.04657251,0
PM2.5,2,9557,0.170916401,0.009785521
PM2.5,2,9559,0.14589749000000002,0.283354788
PM2.5,2,9560,0.018367638999999998,0
PM2.5,2,9561,0.001437308,0
PM2.5,2,9717,2.21358e-4,0
PM2.5,2,9722,0.186130446,0
PM2.5,2,9723,0.141171238,0
PM2.5,2,9726,4.64334e-4,0
PM2.5,2,9727,4.64334e-4,0
PM2.5,2,9728,45.448411195,0
PM2.5,2,9729,164.08604026400002,0.058915983
PM2.5,2,9730,174.14120591600002,0.112008213
PM2.5,2,9731,166.048746823,0
PM2.5,2,9732,446.18903029700004,222.987958633
PM2.5,2,9733,269.301373954,2.408429676
PM2.5,2,9734,38.361635957000004,0
PM2.5,2,9886,81.32835226600001,3.316739811
PM2.5,2,9887,66.74850710700001,2.452180146
PM2.5,2,9888,72.516561392,0.357319629
PM2.5,2,9889,128.788435309,2.44108039
PM2.5,2,9890,35.853174783,0.645830295
PM2.5,2,9891,128.28964269600002,0.108472866
PM2.5,2,9892,108.1893917,0.001973088
PM2.5,2,9893,0.598385441,0.196263357
PM2.5,2,9894,92.232726111,0.026460118999999997
PM2.5,2,9895,71.203201728,0.6147138679999999
PM2.5,2,9896,2.428826665,0.863779551
PM2.5,2,9897,2.787958248,0.09282637799999999
PM2.5,2,9898,1.331474601,0
PM2.5,2,9899,8.542141473,1.8383592
PM2.5,2,9900,232.253286084,1.7922130980000002
PM2.5,2,9901,0.118654333,0
PM2.5,2,9905,23.074513922,0.441251442
PM2.5,2,9906,221.54553031999998,0.33472533
PM2.5,2,9907,48.909055241000004,0.013991434
PM2.5,2,10058,91.56578414600001,0.149195992
PM2.5,2,10061,0.007517214,0
PM2.5,2,10062,46.775812566,0.7756528549999999
PM2.5,2,10063,0.059468042,3.30151e-4
PM2.5,2,10064,68.575087619,0.11504515400000001
